time,open,high,low,close,volume
090000,198000,198000,196500,196500,0
090500,196600,197100,195800,196400,858579
091000,196400,196700,195800,196100,462827
091500,196150,196900,195900,196800,562996
092000,196800,197000,195700,195800,408845
092500,195800,196700,195500,196600,548226
093000,196600,196700,196200,196700,225635
093500,196700,197200,196600,196800,446846
094000,196900,197100,196600,196800,240594
094500,196800,196900,196450,196600,167397
095000,196700,196900,196000,196100,204325
095500,196100,196200,195500,196000,258560
100000,196100,196300,195600,195700,212277
100500,195800,196300,195600,196100,161636
101000,196150,196600,196000,196300,176911
101500,196300,196400,195800,195900,142749
102000,195950,196000,195700,195850,132505
102500,195850,196200,195800,196000,147554
103000,196100,196700,195900,196700,192509
103500,196600,196800,196300,196500,275230
104000,196600,196600,196000,196400,237900
104500,196500,196500,195800,196400,192318
105000,196400,196600,196300,196400,107851
105500,196500,197000,196400,196900,311076
110000,196900,197000,196600,196700,125250
110500,196800,196900,196700,196800,133025
111000,196800,196900,196600,196700,77985
111500,196700,196800,196400,196500,95753
112000,196500,197000,196400,196900,137549
112500,197000,197000,196500,196700,99045
113000,196700,197000,196600,197000,84223
113500,197000,197400,196900,197300,270051
114000,197300,197300,197000,197100,118200
114500,197000,197200,196900,197050,90802
115000,197100,197100,196500,196700,117451
115500,196700,196800,196500,196600,69975
120000,196600,196800,196500,196700,81971
120500,196700,196800,196450,196600,87068
121000,196600,196800,196500,196700,71190
121500,196800,197000,196600,196800,100075
122000,196800,196900,196500,196900,100599
122500,196900,196900,196500,196700,85768
123000,196800,196800,196300,196400,146994
123500,196450,196500,196000,196100,239430
124000,196100,196200,195800,195900,205374
124500,196000,196200,195900,196200,108597
125000,196100,196500,196000,196400,95309
125500,196400,196500,196200,196300,78883
130000,196400,196400,196000,196000,64291
130500,196100,196100,195900,195900,91079
131000,196000,196100,195800,195900,103969
131500,195900,196300,195800,196250,154724
132000,196300,196500,196000,196000,111415
132500,196100,196100,195800,195950,105665
133000,195950,196200,195800,196050,117594
133500,196100,196400,196000,196100,125640
134000,196100,196400,196000,196400,128791
134500,196400,196500,196200,196400,190952
135000,196400,196500,196200,196400,180075
135500,196400,196600,196200,196300,128201
140000,196300,196300,196100,196100,101162
140500,196200,196500,196100,196400,129949
141000,196300,196800,196200,196750,234734
141500,196750,196900,196700,196700,111069
142000,196700,196900,196700,196900,144976
142500,196900,197000,196800,197000,161196
143000,197000,197000,196500,196600,167132
143500,196600,196900,196400,196600,157810
144000,196600,196900,196500,196600,153445
144500,196700,196700,196100,196200,285935
145000,196200,196300,195900,195900,217038
145500,196000,196000,195300,195400,370717
