code,name,market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
207940,삼성바이오로직스,KOSPI
005380,현대차,KOSPI
000270,기아,KOSPI
068270,셀트리온,KOSPI
006400,삼성SDI,KOSPI
051910,LG화학,KOSPI
035720,카카오,KOSPI
035420,NAVER,KOSPI
066570,LG전자,KOSPI
028260,삼성물산,KOSPI
012330,현대모비스,KOSPI
003550,LG,KOSPI
034730,SK,KOSPI
096770,SK이노베이션,KOSPI
086790,하나금융지주,KOSPI
105560,KB금융,KOSPI
055550,신한지주,KOSPI
003490,대한항공,KOSPI
017670,SK텔레콤,KOSPI
030200,KT,KOSPI
011200,HMM,KOSPI
009150,삼성전기,KOSPI
010950,S-Oil,KOSPI
032830,삼성생명,KOSPI
011070,LG이노텍,KOSPI
024110,기업은행,KOSPI
316140,우리금융지주,KOSPI
003670,포스코퓨처엠,KOSPI
000100,유한양행,KOSPI
097950,CJ제일제당,KOSPI
271560,오리온,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
010130,고려아연,KOSPI
329180,HD현대중공업,KOSPI
042700,한미반도체,KOSPI
373220,LG에너지솔루션,KOSPI
247540,에코프로비엠,KOSDAQ
196170,알테오젠,KOSDAQ
086520,에코프로,KOSDAQ
145020,휴젤,KOSDAQ
041510,에스엠,KOSDAQ
352820,하이브,KOSDAQ
263750,펄어비스,KOSDAQ
112040,위메이드,KOSDAQ
357780,솔브레인,KOSDAQ
091990,셀트리온헬스케어,KOSDAQ
214150,클래시스,KOSDAQ
036540,SFA반도체,KOSDAQ
